fomc,ff.shock.0
02-Nov-2011,0.00757678203087179
13-Dec-2011,0.0238315522130562
25-Jan-2012,0.000449467092951681
13-Mar-2012,0.0330290479657411
25-Apr-2012,-0.00574051583573976
20-Jun-2012,0.00958209863710523
01-Aug-2012,0.0185360752020917
13-Sep-2012,0.00644722984844201
24-Oct-2012,0.00859446035177976
12-Dec-2012,0.0107646008791773
30-Jan-2013,0.00732622295043303
20-Mar-2013,0.00515608242303547
01-May-2013,0.0120328382805266
19-Jun-2013,0.0352837678461644
31-Jul-2013,0.0107646008791799
18-Sep-2013,-0.0042725902362869
30-Oct-2013,0.0107646008791799
18-Dec-2013,0.0153340762369407
29-Jan-2014,0.00757678203087179
19-Mar-2014,0.0270700293959908
30-Apr-2014,0.00999748163871497
18-Jun-2014,0.0153554410144173
